__v,_id,date,date_recorded,is_checked_off,item_footprint_g_100g,item_footprint_sourcenote,item_group,item_kcal_100g,item_product,item_product_detail,item_receipt_desc,item_subgroup,item_unit_price_gbp,item_units,item_weight_g,store,store_branche,time,user
0,6458e0be9a8aa035fb824c80,06/05/23,2023-05-08T11:44:56.876Z,false,0,NA,NA,0,NA,NA,Peppers Mixed,NA,1.35,1,0,LODE,NA,14:11,6447d364ead1f8e46567534e
0,6458e0be9a8aa035fb824c7c,06/05/23,2023-05-08T11:44:56.876Z,false,0,NA,NA,0,NA,NA,Braeburn Apples,NA,1.49,1,0,LODE,NA,14:11,6447d364ead1f8e46567534e
0,6458e0be9a8aa035fb824c89,06/05/23,2023-05-08T11:44:56.876Z,false,0,NA,NA,0,NA,NA,Microwaveable Rice,NA,0.9,2,0,LODE,NA,14:11,6447d364ead1f8e46567534e
0,6458e0be9a8aa035fb824c8a,06/05/23,2023-05-08T11:44:56.876Z,false,0,NA,NA,0,NA,NA,Smooth Peanut Butter,NA,2.69,1,0,LODE,NA,14:11,6447d364ead1f8e46567534e
0,6458e0be9a8aa035fb824c88,06/05/23,2023-05-08T11:44:56.876Z,false,0,NA,NA,0,NA,NA,Baby Corn,NA,1.15,1,0,LODE,NA,14:11,6447d364ead1f8e46567534e
0,6458e0be9a8aa035fb824c7f,06/05/23,2023-05-08T11:44:56.876Z,false,0,NA,NA,0,NA,NA,Inner Chicken Breast,NA,3.15,1,0,LODE,NA,14:11,6447d364ead1f8e46567534e
0,6458e0be9a8aa035fb824c87,06/05/23,2023-05-08T11:44:56.876Z,false,0,NA,NA,0,NA,NA,Bananas,NA,0.85,1,0,LODE,NA,14:11,6447d364ead1f8e46567534e
3,6459040b808bc1bbbb9bcea2,02/05/2023,2023-05-07T22:05:55.550Z,true,450,Tesco Products Carbon Footprint Summary 2012,Protein Sources,131,Eggs,,Happy Egg Co Large Free Range Eggs 6 Pack,Eggs,2.6,1,348,Tesco,,10:00,644fad889a8aa035fb824333
3,6459040b808bc1bbbb9bcea5,02/05/2023,2023-05-07T22:05:55.550Z,true,1080,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Dairy & Alternatives,279,Mozzarella,,Tesco Mozzarella 240G,Cheese,1,1,240,Tesco,,10:00,644fad889a8aa035fb824333
3,6459040b808bc1bbbb9bcea8,02/05/2023,2023-05-07T22:05:55.550Z,true,88,Tesco Products Carbon Footprint Summary 2012,Fruits,198,Avocado,,Tesco Ripe & Ready Avocado,Tropical fruits,0.75,1,170,Tesco,,10:00,644fad889a8aa035fb824333
3,6459040b808bc1bbbb9bcea9,02/05/2023,2023-05-07T22:05:55.550Z,true,225,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Protein sources,99,Plant-based-meat,,Linda Mccartney 6 Vegetarian Chorizo & Red Pepper Sausages 270G,Meat & alternatives,2.5,1,270,Tesco,,10:00,644fad889a8aa035fb824333
3,6459040b808bc1bbbb9bceb4,02/05/2023,2023-05-07T22:05:55.550Z,true,270,myemissions.green,Snacks,475,Flapjacks,,Trek Salted Caramel Protein Flapjacks 3X50g,Biscuits,3,1,150,Tesco,,10:00,644fad889a8aa035fb824333
