user_ID,Pseudo names,user_start,household_ID,hh_start,hh_receipt_id,day_recorded,rcpt_C02_ave,rcpt_C02_total,rcpt_weight,rcpt_items_n
23,Jane,2023-05-02T12:00:00Z,10,2023-05-02T12:00:00Z,4,4.2211255787037,179.22222222222223,1258140,7020,10
21,Olivia,2023-05-01T17:30:00Z,9,2023-05-01T17:30:00Z,3,6.14994849536982,201.31270085231242,2881590,14314,22
20,Tom,2023-04-27T16:00:00Z,8,2023-04-27T16:00:00Z,9,10.7527777777778,150.62786498124746,1409681,9358.699999999997,84
14,Ben,2023-04-25T15:00:00Z,4,2023-04-25T15:00:00Z,5,12.8228768518512,127.99375,2047900,16000,22
20,Tom,2023-04-27T16:00:00Z,8,2023-04-27T16:00:00Z,10,10.901423958333,115.99084368868542,1241450,10703,15
30,Simon,2023-05-04T09:00:00Z,14,2023-05-04T09:00:00Z,3,4.19795173611078,57.48306332842415,780620,13580,4
33,Mark,2023-05-09T12:00:00Z,16,2023-05-09T12:00:00Z,1,0,272.16223132036845,5849855,21494,56
15,Matt,2023-05-01T15:00:00Z,5,2023-05-01T15:00:00Z,2,7.16174236111067,269.55357142857144,905700,3360,8
24,John,2023-05-02T14:09:00Z,11,2023-05-02T14:09:00Z,2,6.73581412036938,247.58781680746998,1113650,4498,13
24,John,2023-05-02T14:09:00Z,11,2023-05-02T14:09:00Z,3,6.73634490740796,230,460000,2000,2
24,John,2023-05-02T14:09:00Z,11,2023-05-02T14:09:00Z,4,6.73682893518496,783.306905370844,1225092,1564,3
24,John,2023-05-02T14:09:00Z,11,2023-05-02T14:09:00Z,5,6.73802604166722,215.03428827789529,3355180,15603,41
11,Emily,2023-04-24T11:00:00Z,1,2023-04-24T11:00:00Z,5,14.9136035879619,114.55301455301455,991800,8658,13
17,Phil,2023-04-26T10:30:00Z,6,2023-04-26T10:30:00Z,8,12.9886620370381,225.5066079295154,767850,3405,5
13,Alice,2023-04-25T11:40:00Z,3,2023-04-25T11:40:00Z,2,13.9611695601846,94.18604651162791,81000,860,2
13,Alice,2023-04-25T11:40:00Z,3,2023-04-25T11:40:00Z,3,13.9617891203695,162.4561403508772,185200,1140,4
13,Alice,2023-04-25T11:40:00Z,3,2023-04-25T11:40:00Z,4,14.1099910879632,210.60821331257299,2164210,10276,23
27,Nick,2023-05-03T10:20:00Z,12,2023-05-03T10:20:00Z,3,6.23998078703604,229.9407806191117,1708460,7430,11
23,Jane,2023-05-02T12:00:00Z,10,2023-05-02T12:00:00Z,5,7.1854984953696,216.09742362382093,1534940,7103,15
18,Chris,2023-04-26T13:30:00Z,7,2023-04-26T13:30:00Z,3,13.1651444444447,211.88803245436105,2611520,12325,21
12,Rob,2023-04-25T10:30:00Z,2,2023-04-25T10:30:00Z,4,14.3657103009246,776.3242841993638,10981107,14145,40
33,Mark,2023-05-09T12:00:00Z,16,2023-05-09T12:00:00Z,2,1.01987696759127,198.719794344473,773020,3890,5
32,Dan,2023-05-05T09:00:00Z,15,2023-05-05T09:00:00Z,2,5.97659930555633,246.08949486455643,4097144,16649,34
32,Dan,2023-05-05T09:00:00Z,15,2023-05-05T09:00:00Z,3,5.97700844907374,204.0077101002313,1322990,6485,19
17,Phil,2023-04-26T10:30:00Z,6,2023-04-26T10:30:00Z,9,15.0355686342606,276.10782865583457,934625,3385,6
17,Phil,2023-04-26T10:30:00Z,6,2023-04-26T10:30:00Z,10,15.035977777778,92,46000,500,1
18,Chris,2023-04-26T13:30:00Z,7,2023-04-26T13:30:00Z,4,15.8073185185177,415.6191504679626,2886475,6945,18
13,Alice,2023-04-25T11:40:00Z,3,2023-04-25T11:40:00Z,5,17.2551065972227,1071.4429028815368,1003942,937,3
14,Ben,2023-04-25T15:00:00Z,4,2023-04-25T15:00:00Z,6,17.7804222222224,197.42095474271542,1592200,8065,13
14,Ben,2023-04-25T15:00:00Z,4,2023-04-25T15:00:00Z,7,17.8989734953697,387.39130434782606,267300,690,2
23,Jane,2023-05-02T12:00:00Z,10,2023-05-02T12:00:00Z,6,12.0133230324062,526.7537754432042,3208984,6092,14
25,Henry,2023-05-09T12:30:00Z,10,2023-05-02T12:00:00Z,7,12.1117072916666,387.55258825681364,2118750,5467,15
31,Emma,2023-05-03T17:30:00Z,13,2023-05-03T17:30:00Z,3,11.0101781250012,1070.1902219255799,6413650,5993,11
